Scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d9,elect_td_bld,1.45E-04,2.97E-04,4.51E-04,6.66E-04,0.00193868,0.0027375,0.00349927,0.00445123,0.00575615,0.00742126,0.00914443,0.0111095,0.0128272,0.0143505,0.0155755,0.0164967,0.0171821,0.0176433,0.0178686,0.0178973,0.0178904,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d1,elect_td_bld,3.64E-05,7.34E-05,1.07E-04,1.35E-04,5.71E-04,9.49E-04,0.00167843,0.00285533,0.00484261,0.0080254,0.0125962,0.019328,0.0285446,0.0405965,0.0583091,0.0803011,0.105503,0.133855,0.164131,0.194129,0.224486,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d10,elect_td_bld,0.00276895,0.00558915,0.00851499,0.0125138,0.0302562,0.0495235,0.0759964,0.106529,0.14641,0.195289,0.248553,0.303417,0.354142,0.397987,0.433764,0.46185,0.483139,0.499718,0.511753,0.520053,0.530718,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d2,elect_td_bld,6.43E-05,1.30E-04,2.30E-04,3.18E-04,0.00114794,0.00191006,0.00332043,0.00551165,0.00901191,0.014446,0.0225258,0.0340639,0.04952,0.0718526,0.0996637,0.131682,0.167159,0.20469,0.241734,0.275768,0.3077,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d3,elect_td_bld,9.22E-05,1.89E-04,3.23E-04,4.63E-04,0.00173717,0.00289745,0.00490509,0.00796291,0.0129787,0.0206053,0.0314263,0.046517,0.0682011,0.0964315,0.13053,0.168902,0.209328,0.24967,0.287096,0.318915,0.347539,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d4,elect_td_bld,1.25E-04,2.48E-04,4.43E-04,6.50E-04,0.00217731,0.00365601,0.00621579,0.0100716,0.0162636,0.0258502,0.0392343,0.0579071,0.0841702,0.116255,0.153811,0.195268,0.237213,0.277619,0.313547,0.343015,0.36965,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d5,elect_td_bld,1.66E-04,3.24E-04,5.82E-04,8.60E-04,0.00273385,0.00473895,0.00798716,0.0127559,0.0202142,0.0313053,0.0469744,0.0703866,0.100781,0.137362,0.178616,0.222078,0.265658,0.306076,0.340063,0.366446,0.389776,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d6,elect_td_bld,2.20E-04,4.45E-04,7.48E-04,0.00113765,0.0034152,0.00588566,0.00979633,0.0155648,0.0246415,0.0380685,0.0568545,0.0831229,0.116444,0.156108,0.199317,0.244444,0.287941,0.327257,0.359845,0.384586,0.406294,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d7,elect_td_bld,3.19E-04,6.69E-04,0.00108236,0.00164305,0.00432901,0.00741923,0.0122243,0.0191983,0.0298902,0.0458483,0.0687841,0.0991933,0.136398,0.179209,0.225908,0.273109,0.31661,0.353147,0.381963,0.402923,0.421724,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d8,elect_td_bld,5.64E-04,0.00110433,0.00173999,0.00259834,0.00591717,0.0100943,0.0163126,0.0256554,0.0398993,0.060354,0.0876338,0.12246,0.163613,0.209309,0.256779,0.302805,0.343621,0.378408,0.404691,0.422964,0.439576,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid others modern_d9,elect_td_bld,9.07E-04,0.0019323,0.00300023,0.00444406,0.00989277,0.0171246,0.0273963,0.0413449,0.0616006,0.0893689,0.124665,0.167321,0.214943,0.264426,0.311966,0.354714,0.389903,0.417482,0.437225,0.450739,0.464433,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,H2 central production,elect_td_ind,0,0,0,0,5.08E-08,2.22E-05,2.12E-04,5.81E-04,0.001014041,0.001537378,0.002185123,0.002922576,0.003840121,0.00490383,0.005953772,0.006993118,0.007978799,0.008976638,0.009932075,0.010778513,0.011630072,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,H2 industrial,elect_td_ind,0,0,0,0,0,1.40E-04,5.94E-04,0.001749432,0.004117859,0.00786174,0.013293922,0.020527444,0.029654273,0.040662261,0.051744322,0.06242068,0.07294192,0.08249289,0.09278182,0.10437017,0.11556229,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,H2 liquid truck,elect_td_ind,0,0,0,0,2.32E-07,1.14E-04,4.83E-04,0.00154746,0.00298159,0.0047798,0.00704297,0.00966962,0.0128525,0.016879,0.0212654,0.0258103,0.0303009,0.0347364,0.0389895,0.0429274,0.0466329,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,H2 pipeline,elect_td_ind,0,0,0,0,2.25E-08,7.05E-06,1.06E-04,3.12E-04,5.97E-04,9.79E-04,0.00148583,0.00208749,0.00281195,0.00366515,0.00455587,0.00545338,0.00630468,0.00710546,0.00780477,0.00836483,0.00883397,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,agricultural energy use,elect_td_ind,0,0,0,0,0,4.27E-05,2.02E-04,5.04E-04,9.43E-04,0.00167522,0.002663374,0.003412629,0.003944161,0.004246718,0.004403068,0.00449098,0.004527968,0.00452046,0.004490091,0.004450422,0.004414621,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,cement,elect_td_ind,0.00106375,0.00247004,0.0037238,0.0037238,0.00470358,0.00645355,0.009322249,0.01324709,0.018448258,0.025183244,0.034033408,0.045880766,0.058956153,0.07085149,0.081905362,0.092141271,0.101223961,0.109532615,0.116915373,0.123321222,0.128834747,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,construction energy use,elect_td_ind,0,0,0,0,0,4.46E-06,1.95E-05,4.78E-05,9.08E-05,1.64E-04,2.71E-04,3.50E-04,4.01E-04,4.27E-04,4.41E-04,4.47E-04,4.49E-04,4.48E-04,4.43E-04,4.36E-04,4.27E-04,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,desalinated water,elect_td_ind,2.02E-06,1.23E-06,9.61E-07,6.95E-07,7.12E-07,8.80E-07,1.13E-06,1.41E-06,1.74E-06,2.09E-06,2.45E-06,2.85E-06,3.12E-06,3.35E-06,3.56E-06,3.75E-06,3.92E-06,4.05E-06,4.14E-06,4.16E-06,4.14E-06,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,food processing,elect_td_ind,0.00247641,0.00389803,0.00474809,0.00782397,0.00883962,0.0099412,0.01113688,0.01236522,0.013643836,0.014973853,0.01634902,0.017750014,0.019167666,0.020584099,0.021974293,0.023307742,0.024548809,0.025676679,0.026673802,0.027539384,0.028266434,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,industrial wastewater treatment,elect_td_ind,2.72E-05,4.90E-05,6.13E-05,9.85E-05,1.24E-04,1.55E-04,1.96E-04,2.48E-04,3.16E-04,4.04E-04,5.16E-04,6.54E-04,8.23E-04,0.00102114,0.00124746,0.00149725,0.00176271,0.00203697,0.00231033,0.0025749,0.00282577,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,industrial water abstraction,elect_td_ind,4.96E-05,8.75E-05,1.11E-04,1.68E-04,1.91E-04,2.16E-04,2.45E-04,2.75E-04,3.08E-04,3.44E-04,3.82E-04,4.22E-04,4.64E-04,5.06E-04,5.49E-04,5.92E-04,6.32E-04,6.70E-04,7.05E-04,7.35E-04,7.61E-04,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,industrial water treatment,elect_td_ind,6.95E-05,1.29E-04,1.64E-04,2.63E-04,2.99E-04,3.38E-04,3.82E-04,4.30E-04,4.82E-04,5.37E-04,5.97E-04,6.60E-04,7.25E-04,7.92E-04,8.59E-04,9.25E-04,9.89E-04,0.00104829,0.00110202,0.00114931,0.0011906,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,iron and steel,elect_td_ind,7.74E-05,7.74E-05,7.74E-05,7.71E-05,8.58E-04,0.001429222,0.002221337,0.003646719,0.006416586,0.011543726,0.020092777,0.032217725,0.046821015,0.061941884,0.075676201,0.086995979,0.095770975,0.102053579,0.106069498,0.10815217,0.108654733,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,irrigation water abstraction,elect_td_ind,0.00303452,0.00488084,0.00556491,0.00642684,0.00652448,0.00715507,0.00796802,0.00874559,0.00957253,0.010556,0.0115653,0.0123154,0.013111,0.0138365,0.0144742,0.014941,0.0152676,0.0155022,0.0156155,0.0150734,0.0144589,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,mining energy use,elect_td_ind,0,0,0,2.02E-05,3.92E-05,9.63E-05,1.91E-04,2.92E-04,3.80E-04,4.95E-04,6.34E-04,7.61E-04,8.81E-04,9.79E-04,0.00106013,0.001129463,0.001189844,0.0012415,0.001289004,0.00133476,0.001382357,EJ
