return-period,upper,lower
661,96.23348535804266,80.95822577717902
662,96.25086237431539,80.97284463583765
663,96.26821185566894,80.98743956639728
664,96.28553388719651,81.0020106440518
665,96.30282855360264,81.01655794364764
666,96.32009593920156,81.03108153968263
667,96.33733612792358,81.04558150631134
668,96.3545492033133,81.0600579173439
669,96.3717352485355,81.07451084625087
670,96.38889434637515,81.08894036616363
671,96.40602657924065,81.10334654987707
672,96.42313202916611,81.11772946985172
673,96.4402107778137,81.13208919821578
674,96.45726290647508,81.14642580676663
675,96.47428849607402,81.160739366973
676,96.49128762717072,81.17502994997876
677,96.5082603799583,81.18929762660017
678,96.52520683427242,81.20354246733405
679,96.5421270695873,81.21776454235454
680,96.55902116502183,81.23196392151848
681,96.57588919933916,81.24614067436505
682,96.5927312509506,81.26029487011918
683,96.60954739791586,81.27442657769208
684,96.62633771794732,81.28853586568465
685,96.64310228841043,81.30262280238817
686,96.65984118632619,81.31668745578646
687,96.67655448837355,81.33072989355793
688,96.69324227089118,81.34475018307727
689,96.70990460987905,81.3587483914169
690,96.7265415810002,81.37272458534855
691,96.74315325958548,81.38667883134728
692,96.75973972063242,81.4006111955909
693,96.7763010388058,81.41452174396022
694,96.79283728844561,81.42841054204612
695,96.80934854356309,81.44227765514627
696,96.82583487784544,81.45612314826913
697,96.84229636465552,81.46994708613386
698,96.85873307703838,81.48374953317597
699,96.87514508771756,81.49753055354418
700,96.89153246909909,81.51129021110407
701,96.90789529327587,81.52502856944173
702,96.9242336320256,81.5387456918622
703,96.94054755681522,81.55244164139327
704,96.95683713879906,81.56611648078409
705,96.97310244882772,81.57977027251262
706,96.98934355744194,81.59340307878075
707,97.00556053487806,81.60701496151879
708,97.02175345107254,81.62060598238963
709,97.03792237565618,81.63417620278372
710,97.05406737796393,81.64772568382756
711,97.07018852703187,81.66125448638127
712,97.08628589159832,81.67476267103956
713,97.10235954011065,81.6882502981376
714,97.11840954072126,81.70171742774767
715,97.13443596129157,81.71516411968275
716,97.15043886939372,81.72859043349784
717,97.1664183323137,81.74199642849293
718,97.18237441704844,81.75538216371042
719,97.19830719031299,81.76874769794141
720,97.21421671853842,81.78209308972397
721,97.23010306787455,81.79541839734546
722,97.24596630419167,81.8087236788442
723,97.26180649308145,81.82200899201023
724,97.27762369985972,81.83527439438778
725,97.2934179895656,81.84851994327464
726,97.30918942696819,81.86174569572782
727,97.32493807656017,81.87495170855824
728,97.34066400256627,81.88813803833811
729,97.35636726894278,81.90130474140035
730,97.37204793937585,81.91445187383744
731,97.38770607728922,81.92757949150798
732,97.40334174584022,81.94068765003327
733,97.41895500792074,81.95377640479839
734,97.43454592616645,81.96684581095994
735,97.4501145629477,81.9798959234385
736,97.46566098037866,81.99292679692638
737,97.48118524031693,82.00593848588737
738,97.49668740436232,82.01893104455579
739,97.51216753386022,82.0319045269395
740,97.52762568990445,82.04485898682218
741,97.54306193333584,82.05779447776246
742,97.55847632474618,82.07071105309706
743,97.57386892447589,82.08360876593912
744,97.58923979262084,82.09648766918394
745,97.60458898902843,82.1093478155057
746,97.61991657330141,82.12218925736086
