return-period,rp
23144.761347613476,120.74296194984404
23145.761207612075,120.74332098403289
23146.761067610674,120.74368000169181
23147.760927609277,120.74403900281823
23148.760787607876,120.74439798738828
23149.760647606476,120.7447569554421
23150.760507605075,120.74511590695582
23151.760367603674,120.74547484192686
23152.760227602277,120.74583376039546
23153.760087600876,120.7461926623163
23154.759947599476,120.74655154770825
23155.759807598075,120.74691041659005
23156.759667596674,120.7472692689379
23157.759527595277,120.74762810477056
23158.759387593876,120.7479869240855
23159.759247592476,120.74834572688017
23160.759107591075,120.74870451315206
23161.758967589674,120.74906328289863
23162.758827588274,120.7494220361387
23163.758687586876,120.74978077286971
23164.758547585476,120.7501394930892
23165.758407584075,120.75049819679452
23166.758267582674,120.7508568839832
23167.758127581274,120.75121555467408
23168.757987579876,120.75157420886461
23169.757847578476,120.75193284653088
23170.757707577075,120.75229146771309
23171.757567575674,120.75265007238737
23172.757427574274,120.75300866055116
23173.757287572877,120.75336723224466
23174.757147571476,120.75372578742262
23175.757007570075,120.75408432610386
23176.756867568674,120.75444284828585
23177.756727567274,120.75480135398746
23178.756587565877,120.75515984318473
23179.756447564476,120.75551831591793
23180.756307563075,120.75587677214175
23181.756167561674,120.75623521187504
23182.756027560274,120.75659363513667
23183.755887558877,120.75695204190271
23184.755747557476,120.757310432192
23185.755607556075,120.75766880600203
23186.755467554674,120.7580271633303
23187.755327553274,120.7583855041742
23188.755187551877,120.75874382855268
23189.755047550476,120.75910213646316
23190.754907549075,120.75946042788169
23191.754767547674,120.7598187028272
23192.754627546274,120.76017696131856
23193.754487544877,120.76053520333177
23194.754347543476,120.76089342888578
23195.754207542075,120.76125163795662
23196.754067540674,120.76160983058456
23197.753927539274,120.7619680067243
23198.753787537877,120.7623261664161
23199.753647536476,120.76268430965744
23200.753507535075,120.76304243642437
23201.753367533674,120.76340054673581
23202.753227532274,120.76375864058919
23203.753087530873,120.7641167180034
23204.752947529476,120.76447477895455
23205.752807528075,120.76483282344006
23206.752667526674,120.76519085150028
23207.752527525274,120.7655488630898
23208.752387523873,120.765906858249
23209.752247522476,120.76626483695387
23210.752107521075,120.76662279922333
23211.751967519675,120.76698074503345
23212.751827518274,120.76733867442454
23213.751687516873,120.76769658737265
23214.751547515476,120.76805448385386
23215.751407514075,120.76841236392987
23216.751267512675,120.76877022755535
23217.751127511274,120.76912807474918
23218.750987509873,120.76948590550887
23219.750847508476,120.76984371985328
23220.750707507075,120.77020151773709
23221.750567505675,120.77055929922203
23222.750427504274,120.77091706426272
23223.750287502873,120.77127481287806
23224.750147501476,120.77163254508703
23225.750007500075,120.77199026086559
23226.749867498675,120.77234796021126
23227.749727497274,120.77270564314298
23228.749587495873,120.77306330967963
23229.749447494476,120.77342095977585
23230.749307493075,120.77377859345053
23231.749167491675,120.77413621072262
23232.749027490274,120.77449381158956
23233.748887488873,120.77485139604887
23234.748747487476,120.77520896407661
23235.748607486075,120.77556651571311
23236.748467484675,120.77592405093445
23237.748327483274,120.7762815697595
23238.748187481873,120.7766390721858
23239.748047480476,120.77699655818937
23240.747907479075,120.77735402781057
23241.747767477675,120.77771148102549
23242.747627476274,120.778068917853
23243.747487474873,120.77842633826918
23244.747347473472,120.77878374229299
23245.747207472075,120.7791411299433
23246.747067470675,120.77949850117476
23247.746927469274,120.77985585604915
23248.746787467873,120.78021319449967
23249.746647466472,120.78057051658813
23250.746507465075,120.78092782226912
23251.746367463675,120.78128511158302
23252.746227462274,120.7816423845059
23253.746087460873,120.78199964105667
23254.745947459473,120.78235688121141
23255.745807458075,120.78271410501047
23256.745667456675,120.78307131240848
23257.745527455274,120.7834285034458
23258.745387453873,120.7837856780985
23259.745247452473,120.7841428363855
