return-years,Max Surge (m)
1.2871039829749924,6.835171538707797
1.287243534237117,6.863951510679554
1.287383168475492,6.8764585976735
1.2875228857541854,6.887179700701119
1.2876626861373297,6.89373797690949
1.2878025696891213,6.899761633118383
1.2879425364738213,6.910746815143755
1.288082586555756,6.9367490760239
1.2882227199993153,6.940966752922487
1.288362936868955,6.946599211063177
1.2885032372291956,6.950376110002746
1.2886436211446217,6.965359462412514
1.2887840886798836,6.984688896077902
1.288924639899697,6.99023209451327
1.289065274868842,7.0144777031699315
1.289205993652165,7.025640063277445
1.2893467963145762,7.028701312767959
1.289487682921053,7.029846338554881
1.2896286535366375,7.030356117531815
1.289769708226437,7.045451062387946
1.289910847055625,7.049692678324432
1.2900520700894411,7.050247208443586
1.2901933773931902,7.056690995112865
1.290334769032243,7.069077311625851
1.2904762450720373,7.075643566936595
1.2906178055780755,7.086023605568872
1.2907594506159272,7.087820162898069
1.2909011802512278,7.108529591198129
1.29104299454968,7.108831099026059
1.2911848935770516,7.11195770437611
1.2913268773991775,7.125793946791408
1.2914689460819595,7.129588677767144
1.291611099691366,7.131689777348573
1.2917533382934316,7.141917542497591
1.2918956619542588,7.157113283527082
1.2920380707400156,7.158421342860606
1.2921805647169389,7.160380415960468
1.292323143951331,7.163372787241158
1.2924658085095624,7.1634109518182925
1.2926085584580707,7.1751114829625156
1.2927513938633606,7.200428086947154
1.2928943147920045,7.210046208325315
1.2930373213106425,7.2148366291610255
1.2931804134859817,7.233527588396111
1.2933235913847978,7.258791200869697
1.2934668550739337,7.2594372259662725
1.2936102046203002,7.2647354532212525
1.2937536400908765,7.266494975025738
1.2938971615527093,7.267221120952893
1.294040769072914,7.268330951651461
1.2941844627186738,7.269967417967741
1.2943282425572407,7.2704271585469185
1.2944721086559345,7.285937550827403
1.2946160610821442,7.286947690313927
1.2947600999033264,7.309281716875457
1.2949042251870075,7.31610244722793
1.2950484370007822,7.3252567819938905
1.2951927354123136,7.3420377950467595
1.2953371204893345,7.342569044012422
1.2954815922996459,7.346682962740468
1.2956261509111187,7.347767313300007
1.2957707963916927,7.3556220121378075
1.2959155288093767,7.366652878036955
1.2960603482322495,7.374962877154056
1.2962052547284586,7.385386106552615
1.296350248366222,7.399168592381726
1.296495329213826,7.401564605720789
1.2966404973396282,7.404082245124053
1.2967857528120548,7.433357196895372
1.2969310956996027,7.4456471917824345
1.2970765260708381,7.450490426437295
1.2972220439943978,7.4544044882515035
1.297367649538989,7.455338801104024
1.2975133427733883,7.471004010057536
1.2976591237664434,7.474931057524493
1.297804992587072,7.49509453313085
1.297950949304263,7.5057566072535415
1.2980969939870752,7.509731734283445
1.2982431267046382,7.522963624929957
1.2983893475261532,7.544892322928964
1.2985356565208912,7.550386103799774
1.298682053758195,7.552020344605348
1.298828539307478,7.556484135081203
1.2989751132382252,7.566789107152979
1.2991217756199926,7.5670642264490535
1.2992685265224078,7.590971501154165
1.299415366015169,7.6002792795127005
1.2995622941680471,7.6121649918086245
1.2997093110508842,7.615432988605161
1.2998564167335938,7.617888331369905
1.300003611286162,7.618761407303376
1.300150894778645,7.634487478111414
