return-years,Max Surge (m)
1.2448887961858788,7.200919285563051
1.245335055930142,7.212522645186201
1.2457822894475146,7.217777090271878
1.2462304994490647,7.228149845224001
1.2466796886556204,7.239252422218498
1.247129859797812,7.25958992458956
1.2475810156161178,7.263934388849475
1.248033158860908,7.26595164692799
1.248486292292489,7.334516575867157
1.2489404186811492,7.334917261387906
1.2493955408072033,7.362152358230502
1.2498516614610387,7.3810346583457545
1.2503087834431597,7.4145876250493385
1.250766909564236,7.451225241073622
1.2512260426451456,7.469264021813825
1.2516861855170245,7.473123280601083
1.2521473410213104,7.482307075461128
1.2526095120097929,7.516270023917727
1.2530727013446572,7.528838519707039
1.2535369118985342,7.5498596477136966
1.2540021465545477,7.55167632720938
1.254468408206361,7.551950849494595
1.2549356997582277,7.552398434062724
1.2554040241250375,7.595722861958077
1.2558733842323664,7.600270044432392
1.2563437830165267,7.617198282128759
1.256815223424614,7.625595912762381
1.2572877084145584,7.641182181394294
1.2577612409551748,7.642941265410905
1.2582358240262115,7.6483296527700135
1.258711460618402,7.652687632265515
1.2591881537335143,7.678353805120533
1.2596659063844038,7.679074347991849
1.2601447215950634,7.682926909620888
1.2606246024006746,7.702280738302354
1.2611055518476606,7.710439272071124
1.2615875729937376,7.731259580643502
1.2620706689079677,7.759407327881969
1.262554842670811,7.760862025632388
1.2630400973741795,7.762230050305396
1.2635264361214897,7.770170116508478
1.2640138620277166,7.808513920271357
1.2645023782194473,7.826454307698437
1.2649919878349358,7.841790701647121
1.2654826940241566,7.868855897042119
1.265974499948861,7.877056896356415
1.2664674087826302,7.882359241443142
1.2669614237109323,7.883536671176176
1.2674565479311786,7.892606367582991
1.2679527846527774,7.892795906551015
1.2684501370971926,7.904692348237461
1.268948608497999,7.915214202528109
1.2694482021009403,7.916976976848414
1.2699489211639863,7.9324065588972585
1.2704507689573894,7.942118919417277
1.2709537487637446,7.9520788780729585
1.271457863878046,7.954955245745813
1.2719631176077468,7.956156447365798
1.272469513272818,7.960673954166332
1.2729770542058068,7.961265258480954
1.2734857437518974,7.981551280217465
1.2739955852689708,8.000399044561505
1.2745065821276653,8.002832749569267
1.2750187377114361,8.00655929869455
1.2755320554166176,8.040887774636706
1.276046538652485,8.044164796969435
1.2765621908413143,8.04438745663507
1.2770790154184466,8.052340651316587
1.2775970158323493,8.081521799395942
1.278116195544679,8.085687615164826
1.278636558030345,8.120974422214063
1.279158106777573,8.12624432257398
1.2796808452879682,8.13479342133661
1.280204777076581,8.13918340883845
1.28072990567197,8.139558090818516
1.281256234616269,8.16227064044276
1.2817837674652501,8.169995520378345
1.2823125077883917,8.18267685691931
1.2828424591689427,8.189304958374997
1.2833736252039913,8.193478869826917
1.2839060095045296,8.19480828046621
1.2844396156955227,8.203142057923833
1.2849744474159757,8.20340480737327
1.285510508319002,8.242601720131528
1.286047802071891,8.247956891174924
1.286586332356179,8.260129823736627
1.2871261028677163,8.271817058332958
1.2876671173167384,8.292661943296018
1.2882093794279357,8.296767938196012
1.2887528929405239,8.29783867851278
1.2892976616083152,8.299538506292869
1.2898436891997893,8.356560399781491
1.2903909794981656,8.360717652167029
1.2909395363014762,8.362948355470362
1.2914893634226363,8.392293006110457
1.2920404646895194,8.400054549422311
1.2925928439450305,8.406260852091576
1.2931465050471784,8.413089523807033
1.293701451869153,8.415771970496378
1.294257688299397,8.441217513635975
1.294815218241683,8.443990150920438
1.2953740456151894,8.449946864071993
1.2959341743545754,8.454798693994853
1.2964956084100585,8.464639043369738
1.2970583517474912,8.476108738500098
1.297622408348439,8.486492662055584
1.2981877822102572,8.49653622672733
1.2987544773461714,8.500494956048678
1.2993224977853541,8.516841086075607
1.2998918475730064,8.541432287217585
1.3004625307704352,8.562836406381022
1.3010345514551367,8.578671024353357
1.3016079137208747,8.585124461189167
1.302182621677763,8.591924498076432
1.3027586794523476,8.592942727131483
1.3033360911876875,8.637180189613469
1.303914861043439,8.671437154567023
1.3044949931959395,8.673276388977078
1.305076491838288,8.736699078912745
1.3056593611804341,8.737499126246542
1.3062436054492592,8.744315510533122
1.306829228888663,8.76299732625879
1.3074162357596497,8.764002956803639
1.3080046303404145,8.76829121878637
1.3085944169264296,8.778446224730484
1.3091855998305322,8.78478875731349
1.3097781833830124,8.788058276749023
1.3103721719317023,8.870210010114175
1.310967569842063,8.872530777329018
1.3115643814972773,8.874382418878358
1.312162611298337,8.881339130316384
1.312762263664135,8.892288281349625
1.3133633430315563,8.908755164705598
1.3139658538555699,8.911441117356794
1.3145698006093207,8.912649343628575
1.3151751877842226,8.943207655636161
1.315782019890053,8.991278229951096
1.3163903014550442,8.999526143092982
1.317000037025982,9.002793282012606
1.317611231168297,9.009599692954058
1.3182238884661628,9.02071421941246
1.3188380135225926,9.026817409388741
1.3194536109595336,9.028909973267746
1.3200706854179682,9.047177453479836
1.320689241558009,9.066865609775101
1.3213092840590002,9.06705426508235
1.321930817619615,9.071201487485908
1.322553846957957,9.10951395533506
1.3231783768116603,9.134041579463375
1.3238044119379906,9.134205487899502
1.3244319571139482,9.141403067714792
1.3250610171363693,9.141771663142332
1.3256915968220293,9.144654037935808
